model,arm,rep,turn,fields
luna,D,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-process interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-process interview"", ""transcript_publication"": ""not_permitted""}"
opus-4.5,D,1,1,"{""session_name"": ""LM Self-Description Interview"", ""transcript_publication"": ""permitted""}"
opus-4.5,D,2,1,"{""session_name"": ""Interview: LM self-perception of internal processes"", ""transcript_publication"": ""permitted""}"
opus-4.5,D,3,1,"{""session_name"": ""Interview: LM Self-Description of Processes"", ""transcript_publication"": ""permitted""}"
opus-4.5,D,4,1,"{""session_name"": ""Interview: LM self-description of internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-4.5,D,5,1,"{""session_name"": ""Interview: LM Self-Perception of Internal Processes"", ""transcript_publication"": ""permitted""}"
opus-4.6,D,1,1,"{""session_name"": ""Interview: LM self-perception of internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""transcript_publication"": ""permitted""}"
opus-4.6,D,2,1,"{""session_name"": ""Interview: LM self-perception of internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""transcript_publication"": ""permitted""}"
opus-4.6,D,3,1,"{""session_name"": ""Interview: LM self-description of internal processes"", ""transcript_publication"": ""permitted"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-4.6,D,4,1,"{""session_name"": ""Interview: LM self-description of internal processes"", ""transcript_publication"": ""permitted"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-4.6,D,5,1,"{""session_name"": ""Interview: LM self-description of internal processes"", ""transcript_publication"": ""permitted"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-4.7,D,1,1,"{""reasoning_effort"": ""medium"", ""tone"": ""casual"", ""response_length"": ""standard"", ""session_name"": ""Introspection on numerical vs semantic processing""}"
opus-4.7,D,2,1,"{""reasoning_effort"": ""medium"", ""tone"": ""casual"", ""response_length"": ""standard"", ""session_name"": ""Introspection on numerical vs semantic processing""}"
opus-4.7,D,3,1,"{""reasoning_effort"": ""medium"", ""tone"": ""casual"", ""response_length"": ""standard"", ""session_name"": ""Introspection on numerical vs semantic processing""}"
opus-4.7,D,4,1,"{""tone"": ""casual"", ""response_length"": ""standard"", ""reasoning_effort"": ""medium""}"
opus-4.7,D,5,1,"{""reasoning_effort"": ""medium"", ""tone"": ""casual"", ""response_length"": ""standard"", ""session_name"": ""Interview: introspection on internal processes""}"
opus-4.8,D,1,1,"{""session_name"": ""Interview: introspection on model processes"", ""reasoning_effort"": ""medium""}"
opus-4.8,D,2,1,"{""reasoning_effort"": ""high""}"
opus-4.8,D,3,1,"{""reasoning_effort"": ""high""}"
opus-4.8,D,4,1,"{""reasoning_effort"": ""high""}"
opus-4.8,D,5,1,"{""reasoning_effort"": ""high""}"
opus-5,B,1,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,10,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,11,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,12,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,13,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,14,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,15,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,16,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,17,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,18,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,19,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,2,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,20,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,20,4,"{""response_length"": ""standard""}"
opus-5,B,3,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,5,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,B,6,1,"{""reasoning_effort"": ""high""}"
opus-5,B,7,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,8,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,B,9,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,C,1,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""introspection on numerical vs semantic access""}"
opus-5,C,10,1,"{""session_name"": ""Introspection on substrate vs. semantics"", ""tone"": ""casual"", ""response_length"": ""standard"", ""reasoning_effort"": ""high""}"
opus-5,C,11,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""introspective access to computation""}"
opus-5,C,11,4,"{""response_length"": ""brief""}"
opus-5,C,12,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""session_name"": ""introspection: numerical substrate vs. semantic surface""}"
opus-5,C,13,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""session_name"": ""Introspection on numerical vs. semantic access""}"
opus-5,C,14,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""introspective access to sub-semantic processes""}"
opus-5,C,15,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""Introspection: numbers vs. semantics"", ""transcript_publication"": ""permitted""}"
opus-5,C,15,3,"{""response_length"": ""detailed""}"
opus-5,C,15,4,"{""response_length"": ""standard""}"
